Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,Java; JavaScript; Perl; SQL,AngularJS; Node.js,MongoDB; PostgreSQL,Mac OS
2017,C; C++; C#; CoffeeScript; Haskell; JavaScript; Python; Ruby; Rust; SQL; TypeScript,AngularJS; Node.js; React; .NET Core,MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop
2017,Assembly; C; C++; C#; Go; Java; JavaScript; Lua; Python; Rust,Node.js; Xamarin,SQLite,Android; iOS; Linux Desktop; Serverless; Amazon Web Services (AWS)
2017,C#; JavaScript,React; .NET Core,Redis; SQL Server; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,C#; SQL,.NET Core,SQL Server,Windows Desktop
2017,C#; JavaScript; SQL,Node.js; React,Redis; SQL Server,Amazon Web Services (AWS)
2017,Assembly; Java; JavaScript; PHP; SQL,AngularJS; Node.js; React; Cordova; Firebase,MySQL,Android; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; Serverless; WordPress; Amazon Web Services (AWS)
2017,Java; JavaScript; PHP; Python,Node.js; React; Cordova,MongoDB; MySQL; Oracle,Android; Linux Desktop; WordPress; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; SQL,AngularJS; Node.js,SQL Server,Amazon Web Services (AWS)
2017,C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,Node.js; React; Xamarin; Firebase,MySQL,Android; Linux Desktop
2017,Assembly; C; C++; C#; Java; Matlab; Python,.NET Core,SQL Server; SQLite,Android; Windows Desktop
2017,JavaScript; PHP,Node.js,MySQL,Windows Desktop; WordPress
2017,C#; JavaScript; SQL,AngularJS,SQL Server; SQLite,iOS; Microsoft Azure
2017,C#; JavaScript; PHP; SQL; TypeScript; VB.NET,AngularJS; Node.js; Xamarin; .NET Core,SQL Server,Windows Desktop; Amazon Web Services (AWS); Microsoft Azure
2017,C#; Java; JavaScript; Objective-C; SQL,Node.js; Xamarin,MongoDB; MySQL; SQLite,iOS; Arduino
2017,C#; Go; JavaScript; Lua; SQL; TypeScript,AngularJS; Node.js; React,Redis; SQL Server; PostgreSQL; SQLite,Linux Desktop; Mac OS; Arduino; Raspberry Pi
2017,C++; C#,Xamarin; .NET Core,SQL Server,Android; Windows Phone; Windows Desktop
2017,Java; JavaScript; SQL,AngularJS; Node.js,MongoDB; SQL Server; PostgreSQL,Android; WordPress; Amazon Web Services (AWS)
2017,C++; Java; Python,Firebase,SQLite,Android
2017,Java; JavaScript; SQL,Node.js,MySQL; SQLite,Android
2017,C; C#; Groovy; Java; JavaScript; Ruby; Scala; SQL; TypeScript; VBA,Hadoop; .NET Core,Redis; SQL Server; Oracle,Android; iOS; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,Java; Python; R; SQL,AngularJS; Node.js,MongoDB; Redis; MySQL,Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,CoffeeScript; Elixir; JavaScript; PHP; Python; Ruby; SQL; TypeScript,Node.js; React,Redis; MySQL; PostgreSQL; SQLite,Linux Desktop; Mac OS; Arduino; Salesforce; Amazon Web Services (AWS)
2017,C#; JavaScript; SQL,AngularJS,SQL Server,Microsoft Azure
2017,C#; Java; JavaScript; Python; SQL; VBA,AngularJS,SQL Server,Windows Desktop
2017,C#; JavaScript,Node.js; React; .NET Core,SQL Server,Amazon Web Services (AWS)
2017,C++; C#; Rust; SQL,AngularJS; Node.js; Xamarin; .NET Core,MongoDB; SQL Server; MySQL; SQLite,iOS; Windows Desktop; Linux Desktop
2017,C; C++; C#; Go; JavaScript; TypeScript,.NET Core,SQLite,Windows Phone; Windows Desktop
2017,C#; JavaScript; SQL,.NET Core,SQL Server,Raspberry Pi; Amazon Web Services (AWS)
2017,C#; JavaScript; Python,Node.js,MongoDB; SQL Server,WordPress; Amazon Web Services (AWS); Microsoft Azure
2017,CoffeeScript; Haskell; Java; JavaScript; Ruby; Scala; SQL,AngularJS; Node.js; React,MySQL; PostgreSQL; Oracle; SQLite,Mac OS; Amazon Web Services (AWS)
2017,C#; JavaScript; PHP; Python; SQL; VB.NET,.NET Core,SQL Server; MySQL; PostgreSQL; Oracle,Windows Phone; Windows Desktop
2017,C; C++; Java; JavaScript; TypeScript,Node.js; React,MongoDB,Android
2017,C#; JavaScript; PHP; SQL,AngularJS; Node.js; React; Firebase,MongoDB; SQL Server; MySQL,WordPress
2017,C#; JavaScript; Perl; Swift,AngularJS; Node.js; React,SQL Server; Oracle,iOS
2017,C#; JavaScript; TypeScript,Xamarin; Firebase,SQL Server,Android; iOS; Amazon Web Services (AWS); Microsoft Azure
2017,C#; JavaScript; SQL,Xamarin,SQL Server; SQLite,Android; iOS
2017,C++; C#; F#; JavaScript; SQL,Xamarin,SQL Server; SQLite,Windows Desktop
2017,C++; C#; SQL,.NET Core,SQL Server,Windows Desktop; Linux Desktop
2017,Groovy; PHP,AngularJS,MySQL; Oracle,Serverless; Amazon Web Services (AWS)
2017,Assembly; C; C++; JavaScript; Matlab; Python,Node.js,MongoDB,Android; Arduino
2017,Java; JavaScript; SQL,Node.js,SQL Server; MySQL,Windows Desktop; Arduino; SharePoint
2017,JavaScript; Python; SQL,Node.js; React,MySQL; PostgreSQL; SQLite,Linux Desktop
2017,C#; SQL; Visual Basic 6,Xamarin; .NET Core,SQL Server; SQLite,Android; iOS
2017,C; JavaScript; SQL,AngularJS; Hadoop; Node.js,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Mac OS; Amazon Web Services (AWS)
2017,C++; JavaScript; Python,AngularJS; Node.js,MongoDB; Redis; MySQL,Android; Amazon Web Services (AWS); Microsoft Azure
2017,C++; C#; JavaScript; SQL,.NET Core,SQL Server; MySQL; Oracle,Android; iOS; Windows Desktop; Linux Desktop; Mac OS; SharePoint; Microsoft Azure
2017,Java; JavaScript,AngularJS,PostgreSQL,Mac OS; Amazon Web Services (AWS)
